longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income
-121.48,38.46,8,10505,1777,6002,1694,4.0516
-121.42,38.47,11,5665,1507,3422,1299,2.3343
-121.43,38.46,18,1378,235,818,262,4.0625
-121.43,38.47,21,1787,291,988,301,4.35
-121.44,38.47,16,1215,223,787,233,4.1597
-121.44,38.47,5,5666,1178,3139,1131,3.3608
-121.44,38.46,10,4446,897,2499,884,3.5461
-121.44,38.43,3,39320,6210,16305,5358,4.9516
-121.41,38.34,24,1605,277,1966,250,3.0833
-121.45,38.37,32,1441,261,629,249,4.4519
-121.5,38.34,36,1212,255,569,256,2.0048
-121.54,38.29,47,1396,254,630,218,2.8616
-121.56,38.26,43,1906,327,996,314,2.9744
-121.51,38.26,52,910,212,429,212,1.6458
-121.57,38.19,36,1395,264,700,244,2.4353
-121.7,38.1,19,4896,1083,2150,905,3.3398
-121.29,36.9,17,3610,593,1734,559,5.8324
-121.37,36.89,21,2471,473,1753,451,4.025
-121.47,36.92,27,2049,417,1230,336,4.6477
-121.53,36.85,23,3359,725,1862,651,2.6719
-121.51,36.86,36,1019,168,602,169,2.625
-121.6,36.88,21,3416,624,1862,595,4.7813
-121.5,36.81,20,1345,230,731,217,4.2333
-121.45,36.86,11,1613,335,1617,342,3.1375
-121.42,36.86,41,440,106,389,94,2.6818
-121.41,36.85,11,1708,394,1474,372,2.8839
-121.4,36.85,50,2666,613,1768,555,2.6598
-121.4,36.84,52,1860,400,1215,367,2.9554
-121.4,36.84,40,2352,536,1430,535,3.0912
-121.41,36.84,23,1771,356,1105,338,3.7049
-121.4,36.86,36,1256,270,910,255,1.9405
-121.38,36.85,13,4115,782,2903,747,3.7316
-121.38,36.84,6,3769,669,2061,648,4.1875
-121.37,36.84,11,1996,382,1023,358,3.5714
-121.38,36.84,17,2625,512,1487,481,3.6354
-121.37,36.83,14,3658,612,1951,600,4.76
-121.4,36.83,11,3701,739,1749,654,3.067
-121.44,36.84,7,1644,338,1143,331,4.005
-121.42,36.85,7,1626,325,677,304,2.3125
-121.32,36.79,30,516,90,288,95,3.6333
-121.36,36.81,7,4609,741,1660,720,5.0871
-121.34,36.76,15,2638,429,1289,357,4.1528
-121.06,36.72,23,395,70,166,52,2.2132
-120.95,36.47,52,1691,301,618,239,3.2292
-117.75,34.01,4,22128,3522,10450,3258,6.1287
-117.78,33.97,2,556,63,179,54,8.4411
-117.72,33.99,14,5622,861,3108,821,5.7763
-117.76,33.98,3,9662,1385,2497,856,6.7172
-117.74,33.97,4,9755,1748,4662,1583,5.6501
-117.72,33.97,16,13290,2062,6931,2023,5.228
-117.71,33.97,10,10856,2278,6474,2199,3.851
-117.7,33.92,4,8301,1333,3941,1236,6.2141
-117.75,33.95,13,984,127,364,119,7.5839
-117.76,33.94,40,1092,213,457,190,5.1165
-117.69,34.09,28,1437,295,724,262,2.725
-117.7,34.08,10,1979,454,1117,389,3.7802
-117.7,34.09,25,1719,331,1098,324,3.625
-117.71,34.08,29,1276,283,1216,316,2.5972
-117.71,34.07,31,1840,380,1187,357,3.8875
-117.69,34.08,30,4255,773,2129,730,4.5185
-117.69,34.07,35,3222,559,1970,550,3.7083
-117.69,34.07,34,4055,739,2470,753,3.8586
-117.69,34.08,14,4136,886,2026,788,3.2344
-117.71,34.07,24,1948,362,1286,364,3.6
-117.7,34.08,33,4674,791,2769,784,4.1448
-117.7,34.07,33,1552,288,1326,303,3.7969
-117.69,34.06,29,873,226,649,198,2.7986
-117.69,34.06,25,1881,433,1337,417,2.5536
-117.7,34.06,25,2054,609,2271,564,2.3049
-117.7,34.06,7,732,145,431,132,2.9107
-117.71,34.06,27,2127,628,1970,534,1.4722
-117.68,34.05,25,1859,463,1070,374,2.5395
-117.69,34.05,10,1875,366,1055,363,4.3264
-117.7,34.05,24,2834,470,1815,471,4.7357
-117.71,34.06,16,1458,295,912,331,3.625
-117.71,34.05,20,2281,444,1545,481,2.5735
-117.72,34.05,31,2220,526,1662,472,2.7321
-117.72,34.05,8,1841,409,1243,394,4.0614
-117.69,34.04,5,4459,896,2028,881,4.0096
-117.7,34.04,13,5301,1025,2870,984,3.5954
-117.71,34.04,20,1950,310,1054,312,4.625
-117.71,34.04,17,4098,733,1859,713,2.9811
